id,cluster
uid-495,3
uid-496,1
uid-497,2
uid-498,1
uid-499,2
uid-500,1
uid-501,1
uid-502,2
uid-503,2
uid-504,1
uid-505,2
uid-506,1
uid-507,2
uid-508,1
uid-509,2
uid-510,2
uid-511,1
uid-512,1
uid-513,2
uid-514,2
uid-515,2
uid-516,2
uid-517,2
uid-518,2
uid-519,2
uid-520,1
uid-521,1
uid-522,2
uid-523,3
uid-524,3
uid-525,1
uid-526,2
uid-527,1
uid-528,2
uid-529,2
uid-530,2
uid-531,1
uid-532,2
uid-533,2
uid-534,2
uid-535,3
uid-536,3
uid-537,1
uid-538,2
uid-539,2
uid-540,1
uid-541,3
uid-542,2
uid-543,3
uid-544,2
uid-545,3
uid-546,2
uid-547,1
uid-548,3
uid-549,1
uid-550,2
uid-551,1
uid-552,2
uid-553,1
uid-554,2
uid-555,2
uid-556,2
uid-557,3
uid-558,2
uid-559,1
uid-560,1
uid-561,1
uid-562,2
uid-563,1
uid-564,1
uid-565,2
uid-566,1
uid-567,1
uid-568,2
uid-569,1
uid-570,2
uid-571,2
uid-572,1
uid-573,1
uid-574,1
uid-575,3
uid-576,3
uid-577,1
uid-578,2
uid-579,1
uid-580,1
uid-581,2
uid-582,2
uid-583,2
uid-584,2
uid-585,1
uid-586,3
uid-587,1
uid-588,1
uid-589,3
uid-590,1
uid-591,1
uid-592,2
uid-593,1
uid-594,2
uid-595,1
uid-596,3
uid-597,1
uid-598,1
uid-599,2
uid-600,2
uid-601,2
uid-602,2
uid-603,1
uid-604,1
uid-605,2
uid-606,2
uid-607,1
uid-608,2
uid-609,1
uid-610,2
uid-611,1
uid-612,2
uid-613,2
uid-614,2
uid-615,1
uid-616,2
uid-617,1
uid-618,2
uid-619,1
uid-620,2
uid-621,1
uid-622,1
uid-623,2
uid-624,3
uid-625,1
uid-626,1
uid-627,2
uid-628,1
uid-629,2
uid-630,1
uid-631,2
uid-632,1
uid-633,3
uid-634,3
uid-635,2
uid-636,1
uid-637,1
uid-638,2
uid-639,2
uid-640,2
uid-641,2
uid-642,1
uid-643,2
uid-644,3
uid-645,1
uid-646,1
uid-647,1
uid-648,2
uid-649,2
uid-650,1
uid-651,2
uid-652,1
uid-653,1
uid-654,3
uid-655,3
uid-656,2
uid-657,1
uid-658,2
uid-659,1
uid-660,1
uid-661,1
uid-662,2
uid-663,3
uid-664,3
uid-665,1
uid-666,1
uid-667,1
uid-668,2
uid-669,1
uid-670,3
uid-671,3
uid-672,2
uid-673,1
uid-674,2
uid-675,3
uid-676,1
uid-677,2
uid-678,3
uid-679,2
uid-680,1
uid-681,1
uid-682,1
uid-683,2
uid-684,1
uid-685,3
uid-686,1
uid-687,3
uid-688,3
uid-689,2
uid-690,2
uid-691,1
uid-692,1
uid-693,1
uid-694,3
uid-695,1
uid-696,2
uid-697,2
uid-698,3
uid-699,3
uid-700,2
uid-701,1
uid-702,3
uid-703,3
uid-704,1
uid-705,3
uid-706,1
uid-707,2
uid-708,1
uid-709,2
uid-710,3
uid-711,3
uid-712,3
uid-713,1
uid-714,2
uid-715,2
uid-716,1
uid-717,1
uid-718,3
uid-719,2
uid-720,2
uid-721,2
uid-722,3
uid-723,2
uid-724,2
uid-725,1
uid-726,2
uid-727,2
uid-728,2
uid-729,2
uid-730,3
uid-731,2
uid-732,2
uid-733,2
uid-734,1
uid-735,1
uid-736,1
uid-737,2
uid-738,1
uid-739,3
uid-740,1
uid-741,2
uid-742,1
uid-743,1
uid-744,2
uid-745,2
uid-746,2
uid-747,1
uid-748,1
uid-749,2
uid-750,1
uid-751,3
uid-752,3
uid-753,1
uid-754,2
uid-755,1
uid-756,3
uid-757,3
uid-758,3
uid-759,2
uid-760,1
uid-761,2
uid-762,2
uid-763,1
uid-764,2
uid-765,2
uid-766,1
uid-767,3
uid-768,2
uid-769,3
uid-770,3
uid-771,1
uid-772,1
uid-773,2
uid-774,2
uid-775,1
uid-776,2
uid-777,1
uid-778,2
uid-779,1
uid-780,3
uid-781,1
uid-782,1
uid-783,1
uid-784,3
uid-785,1
uid-786,1
uid-787,1
uid-788,2
uid-789,1
uid-790,1
uid-791,2
uid-792,1
uid-793,2
uid-794,2
uid-795,2
uid-796,3
uid-797,2
uid-798,1
uid-799,1
uid-800,2
uid-801,2
uid-802,1
uid-803,2
uid-804,2
uid-805,2
uid-806,2
uid-807,2
uid-808,2
uid-809,2
uid-810,2
uid-811,1
uid-812,2
uid-813,2
uid-814,1
uid-815,2
uid-816,2
uid-817,2
uid-818,3
uid-819,1
uid-820,3
uid-821,3
uid-822,2
uid-823,2
uid-824,2
uid-825,2
uid-826,2
uid-827,2
uid-828,1
uid-829,2
uid-830,1
uid-831,1
uid-832,3
uid-833,1
uid-834,2
uid-835,2
uid-836,2
uid-837,3
uid-838,1
uid-839,3
uid-840,2
uid-841,1
uid-842,1
uid-843,2
uid-844,2
uid-845,2
uid-846,1
uid-847,1
uid-848,3
uid-849,2
uid-850,2
uid-851,1
uid-852,1
uid-853,1
uid-854,2
uid-855,3
uid-856,2
uid-857,3
uid-858,1
uid-859,1
uid-860,0
uid-861,1
uid-862,1
uid-863,2
uid-864,1
uid-865,1
uid-866,2
uid-867,1
uid-868,1
uid-869,1
uid-870,2
uid-871,2
uid-872,1
uid-873,1
uid-874,2
uid-875,2
uid-876,3
uid-877,2
uid-878,2
uid-879,1
uid-880,2
uid-881,3
uid-882,1
uid-883,2
uid-884,1
uid-885,3
uid-886,3
uid-887,2
uid-888,1
uid-889,2
uid-890,2
uid-891,3
uid-892,2
uid-893,1
uid-894,1
uid-895,2
uid-896,2
uid-897,1
uid-898,3
uid-899,0
uid-900,2
uid-901,3
uid-902,2
uid-903,2
uid-904,3
uid-905,1
uid-906,1
uid-907,1
uid-908,1
uid-909,2
uid-910,2
uid-911,1
uid-912,1
uid-913,1
uid-914,1
uid-915,1
uid-916,1
uid-917,1
uid-918,2
uid-919,2
uid-920,1
uid-921,1
uid-922,2
uid-923,2
uid-924,1
uid-925,1
uid-926,2
uid-927,2
uid-928,3
uid-929,2
uid-930,2
uid-931,3
uid-932,2
uid-933,1
uid-934,1
uid-935,1
uid-936,2
uid-937,2
uid-938,1
uid-939,2
uid-940,2
uid-941,1
uid-942,2
uid-943,2
uid-944,3
uid-945,2
uid-946,3
uid-947,2
uid-948,1
uid-949,1
uid-950,2
uid-951,1
uid-952,2
uid-953,3
uid-954,1
uid-955,2
uid-956,1
uid-957,1
uid-958,3
uid-959,1
uid-960,1
uid-961,2
uid-962,3
uid-963,2
uid-964,2
uid-965,1
uid-966,1
uid-967,2
uid-968,1
uid-969,1
uid-970,2
uid-971,3
uid-972,1
uid-973,1
uid-974,1
uid-975,1
uid-976,2
uid-977,1
uid-978,3
uid-979,1
uid-980,2
uid-981,2
uid-982,2
uid-983,1
uid-984,2
uid-985,2
uid-986,2
uid-987,2
uid-988,1
uid-989,1
uid-990,3
uid-991,1
uid-992,2
uid-993,3
uid-994,2
uid-995,1
uid-996,2
uid-997,3
uid-998,1
uid-999,1
uid-1000,3
uid-1001,3
uid-1002,1
uid-1003,2
uid-1004,2
uid-1005,2
uid-1006,3
uid-1007,1
uid-1008,3
uid-1009,1
uid-1010,1
uid-1011,2
uid-1012,2
uid-1013,3
uid-1014,2
uid-1015,2
uid-1016,2
uid-1017,3
uid-1018,2
uid-1019,2
uid-1020,1
uid-1021,2
uid-1022,2
uid-1023,1
uid-1024,2
uid-1025,1
uid-1026,2
uid-1027,1
uid-1028,2
uid-1029,2
uid-1030,2
uid-1031,2
uid-1032,1
uid-1033,1
uid-1034,1
uid-1035,2
uid-1036,1
uid-1037,2
uid-1038,3
uid-1039,2
uid-1040,1
uid-1041,2
uid-1042,3
uid-1043,2
uid-1044,2
uid-1045,2
uid-1046,2
uid-1047,3
uid-1048,2
uid-1049,2
uid-1050,1
uid-1051,3
uid-1052,1
uid-1053,2
uid-1054,2
uid-1055,3
uid-1056,2
uid-1057,1
uid-1058,1
uid-1059,1
uid-1060,1
uid-1061,1
uid-1062,3
uid-1063,3
uid-1064,3
uid-1065,2
uid-1066,2
uid-1067,1
uid-1068,3
uid-1069,3
uid-1070,3
uid-1071,2
uid-1072,1
uid-1073,2
uid-1074,3
uid-1075,2
uid-1076,1
uid-1077,2
uid-1078,2
uid-1079,2
uid-1080,2
uid-1081,2
uid-1082,1
uid-1083,1
uid-1084,1
uid-1085,2
uid-1086,2
uid-1087,2
uid-1088,1
uid-1089,3
uid-1090,3
uid-1091,2
uid-1092,2
uid-1093,2
uid-1094,1
uid-1095,3
uid-1096,1
uid-1097,1
uid-1098,2
uid-1099,2
uid-1100,1
uid-1101,1
uid-1102,3
uid-1103,3
uid-1104,3
uid-1105,2
uid-1106,1
uid-1107,1
uid-1108,3
uid-1109,1
uid-1110,2
uid-1111,2
uid-1112,2
uid-1113,3
uid-1114,2
uid-1115,2
uid-1116,3
uid-1117,1
uid-1118,1
uid-1119,2
uid-1120,1
uid-1121,2
uid-1122,2
uid-1123,1
uid-1124,2
uid-1125,1
uid-1126,1
uid-1127,1
uid-1128,1
uid-1129,3
uid-1130,2
uid-1131,1
uid-1132,1
uid-1133,1
uid-1134,1
uid-1135,3
uid-1136,2
uid-1137,2
uid-1138,1
uid-1139,1
uid-1140,3
uid-1141,3
uid-1142,2
uid-1143,3
uid-1144,3
uid-1145,2
uid-1146,2
uid-1147,2
uid-1148,1
uid-1149,1
uid-1150,1
uid-1151,1
uid-1152,3
uid-1153,3
uid-1154,3
uid-1155,3
uid-1156,2
uid-1157,3
uid-1158,2
uid-1159,1
uid-1160,3
uid-1161,1
uid-1162,1
uid-1163,2
uid-1164,1
uid-1165,3
uid-1166,2
uid-1167,2
uid-1168,2
uid-1169,1
uid-1170,2
uid-1171,2
uid-1172,1
uid-1173,1
uid-1174,2
uid-1175,1
uid-1176,1
uid-1177,2
uid-1178,3
uid-1179,1
uid-1180,1
uid-1181,1
uid-1182,2
uid-1183,2
uid-1184,2
uid-1185,2
uid-1186,1
uid-1187,2
uid-1188,2
uid-1189,1
uid-1190,2
uid-1191,1
uid-1192,1
uid-1193,2
uid-1194,2
uid-1195,1
uid-1196,2
uid-1197,1
uid-1198,1
uid-1199,2
uid-1200,2
uid-1201,1
uid-1202,2
uid-1203,3
uid-1204,2
uid-1205,1
uid-1206,3
uid-1207,2
uid-1208,1
uid-1209,2
uid-1210,3
uid-1211,2
uid-1212,1
uid-1213,2
uid-1214,2
uid-1215,2
uid-1216,2
uid-1217,2
uid-1218,1
uid-1219,2
uid-1220,1
uid-1221,2
uid-1222,1
uid-1223,2
uid-1224,1
uid-1225,1
uid-1226,2
uid-1227,2
uid-1228,2
uid-1229,1
uid-1230,2
uid-1231,3
uid-1232,1
uid-1233,2
uid-1234,1
uid-1235,3
uid-1236,1
uid-1237,2
uid-1238,1
uid-1239,1
uid-1240,2
uid-1241,1
uid-1242,3
uid-1243,3
uid-1244,3
uid-1245,2
uid-1246,1
uid-1247,3
uid-1248,1
uid-1249,2
uid-1250,1
uid-1251,1
uid-1252,1
uid-1253,1
uid-1254,1
uid-1255,1
uid-1256,1
uid-1257,2
uid-1258,2
uid-1259,2
uid-1260,3
uid-1261,2
uid-1262,3
uid-1263,2
uid-1264,1
uid-1265,3
uid-1266,2
uid-1267,1
uid-1268,3
uid-1269,2
uid-1270,2
uid-1271,1
uid-1272,1
uid-1273,3
uid-1274,3
uid-1275,1
uid-1276,3
uid-1277,1
uid-1278,2
uid-1279,1
uid-1280,1
uid-1281,3
uid-1282,0
uid-1283,2
uid-1284,1
uid-1285,2
uid-1286,3
uid-1287,2
uid-1288,2
uid-1289,3
uid-1290,1
uid-1291,2
uid-1292,1
uid-1293,3
uid-1294,3
uid-1295,2
uid-1296,2
uid-1297,1
uid-1298,2
uid-1299,2
uid-1300,0
uid-1301,3
uid-1302,2
uid-1303,2
uid-1304,3
uid-1305,2
uid-1306,3
uid-1307,2
uid-1308,2
uid-1309,1
uid-1310,2
uid-1311,2
uid-1312,3
uid-1313,2
uid-1314,2
uid-1315,2
uid-1316,3
uid-1317,2
uid-1318,3
uid-1319,3
uid-1320,2
uid-1321,2
uid-1322,1
uid-1323,2
uid-1324,2
uid-1325,2
uid-1326,1
uid-1327,2
uid-1328,1
uid-1329,1
uid-1330,3
uid-1331,1
uid-1332,2
uid-1333,1
uid-1334,1
uid-1335,2
uid-1336,1
uid-1337,2
uid-1338,2
uid-1339,2
uid-1340,1
uid-1341,2
uid-1342,1
uid-1343,2
uid-1344,1
uid-1345,2
uid-1346,2
uid-1347,2
uid-1348,3
uid-1349,3
uid-1350,1
uid-1351,2
uid-1352,2
uid-1353,3
uid-1354,3
uid-1355,1
uid-1356,2
uid-1357,2
uid-1358,2
uid-1359,2
uid-1360,2
uid-1361,1
uid-1362,2
uid-1363,1
uid-1364,2
uid-1365,2
uid-1366,2
uid-1367,1
uid-1368,2
uid-1369,2
uid-1370,1
uid-1371,3
uid-1372,1
uid-1373,2
uid-1374,2
uid-1375,2
uid-1376,1
uid-1377,2
uid-1378,1
uid-1379,1
uid-1380,2
uid-1381,2
uid-1382,3
uid-1383,2
uid-1384,3
uid-1385,3
uid-1386,2
uid-1387,1
uid-1388,2
uid-1389,2
uid-1390,2
uid-1391,3
uid-1392,3
uid-1393,2
uid-1394,1
uid-1395,3
uid-1396,3
uid-1397,1
uid-1398,3
uid-1399,3
uid-1400,1
uid-1401,2
uid-1402,2
uid-1403,2
uid-1404,1
uid-1405,2
uid-1406,2
uid-1407,1
uid-1408,1
uid-1409,2
uid-1410,2
uid-1411,2
uid-1412,1
uid-1413,2
uid-1414,2
uid-1415,2
uid-1416,2
uid-1417,3
uid-1418,1
uid-1419,2
uid-1420,1
uid-1421,1
uid-1422,2
uid-1423,1
uid-1424,2
uid-1425,1
uid-1426,1
uid-1427,2
uid-1428,3
uid-1429,1
uid-1430,3
uid-1431,2
uid-1432,2
uid-1433,3
uid-1434,1
uid-1435,3
uid-1436,3
uid-1437,3
uid-1438,2
uid-1439,1
uid-1440,1
uid-1441,1
uid-1442,2
uid-1443,2
uid-1444,3
uid-1445,2
uid-1446,2
uid-1447,2
uid-1448,2
uid-1449,3
uid-1450,2
uid-1451,1
uid-1452,2
uid-1453,2
uid-1454,1
uid-1455,2
uid-1456,2
uid-1457,2
uid-1458,2
uid-1459,2
uid-1460,1
uid-1461,2
uid-1462,1
uid-1463,1
uid-1464,3
uid-1465,3
uid-1466,2
uid-1467,1
uid-1468,2
uid-1469,0
uid-1470,2
uid-1471,1
uid-1472,2
uid-1473,1
uid-1474,1
uid-1475,1
uid-1476,1
uid-1477,1
uid-1478,2
uid-1479,2
uid-1480,3
uid-1481,2
uid-1482,2
uid-1483,2
uid-1484,3
uid-1485,1
uid-1486,1
uid-1487,2
uid-1488,2
uid-1489,2
uid-1490,2
uid-1491,3
uid-1492,2
uid-1493,2
uid-1494,3
uid-1495,1
uid-1496,2
uid-1497,2
uid-1498,1
uid-1499,1
uid-1500,1
uid-1501,1
uid-1502,2
uid-1503,1
uid-1504,3
uid-1505,2
uid-1506,2
uid-1507,2
uid-1508,2
uid-1509,2
uid-1510,2
uid-1511,1
uid-1512,1
uid-1513,2
uid-1514,1
uid-1515,2
uid-1516,2
uid-1517,2
uid-1518,2
uid-1519,1
uid-1520,2
uid-1521,1
uid-1522,1
uid-1523,2
uid-1524,1
uid-1525,3
uid-1526,2
uid-1527,2
uid-1528,2
uid-1529,2
uid-1530,2
uid-1531,2
uid-1532,2
uid-1533,3
uid-1534,1
uid-1535,3
uid-1536,2
uid-1537,2
uid-1538,3
uid-1539,2
uid-1540,3
uid-1541,2
uid-1542,2
uid-1543,1
uid-1544,1
uid-1545,1
uid-1546,2
uid-1547,1
uid-1548,1
uid-1549,1
uid-1550,3
uid-1551,3
uid-1552,1
uid-1553,3
uid-1554,1
uid-1555,1
uid-1556,1
uid-1557,2
uid-1558,2
uid-1559,2
uid-1560,1
uid-1561,2
uid-1562,1
uid-1563,1
uid-1564,2
uid-1565,1
uid-1566,2
uid-1567,3
uid-1568,2
uid-1569,2
uid-1570,2
uid-1571,2
uid-1572,2
uid-1573,2
uid-1574,2
uid-1575,1
uid-1576,2
uid-1577,3
uid-1578,1
uid-1579,1
uid-1580,3
uid-1581,1
uid-1582,1
uid-1583,1
uid-1584,1
uid-1585,1
uid-1586,1
uid-1587,2
uid-1588,1
uid-1589,2
uid-1590,0
uid-1591,1
uid-1592,1
uid-1593,1
uid-1594,3
uid-1595,3
uid-1596,1
uid-1597,2
uid-1598,2
uid-1599,1
uid-1600,2
uid-1601,2
uid-1602,3
uid-1603,3
uid-1604,3
uid-1605,1
uid-1606,3
uid-1607,2
uid-1608,1
uid-1609,1
uid-1610,1
uid-1611,1
uid-1612,1
uid-1613,2
uid-1614,2
uid-1615,1
uid-1616,2
uid-1617,1
uid-1618,2
uid-1619,1
uid-1620,2
uid-1621,2
uid-1622,3
uid-1623,1
uid-1624,1
uid-1625,2
uid-1626,1
uid-1627,1
uid-1628,2
uid-1629,2
uid-1630,1
uid-1631,2
uid-1632,2
uid-1633,1
uid-1634,3
uid-1635,2
uid-1636,2
uid-1637,3
uid-1638,2
uid-1639,1
uid-1640,1
uid-1641,2
uid-1642,2
uid-1643,2
uid-1644,3
uid-1645,3
uid-1646,1
uid-1647,1
uid-1648,3
uid-1649,2
uid-1650,3
uid-1651,1
uid-1652,0
uid-1653,2
uid-1654,1
uid-1655,2
uid-1656,2
uid-1657,3
uid-1658,3
uid-1659,1
uid-1660,2
uid-1661,1
uid-1662,2
uid-1663,2
uid-1664,1
uid-1665,1
uid-1666,3
uid-1667,2
uid-1668,2
uid-1669,1
uid-1670,1
uid-1671,2
uid-1672,1
uid-1673,2
uid-1674,1
uid-1675,1
uid-1676,3
uid-1677,2
uid-1678,1
uid-1679,2
uid-1680,1
uid-1681,1
uid-1682,3
uid-1683,2
uid-1684,1
uid-1685,1
uid-1686,2
uid-1687,2
uid-1688,2
uid-1689,2
uid-1690,2
uid-1691,2
uid-1692,1
uid-1693,2
uid-1694,2
uid-1695,2
uid-1696,2
uid-1697,2
uid-1698,2
uid-1699,3
uid-1700,1
uid-1701,1
uid-1702,2
uid-1703,2
uid-1704,3
uid-1705,1
uid-1706,2
uid-1707,2
uid-1708,1
uid-1709,2
uid-1710,3
uid-1711,1
uid-1712,1
uid-1713,2
uid-1714,1
uid-1715,2
uid-1716,1
uid-1717,2
uid-1718,1
uid-1719,2
uid-1720,2
uid-1721,3
uid-1722,1
uid-1723,1
uid-1724,1
uid-1725,2
uid-1726,1
uid-1727,2
uid-1728,1
uid-1729,2
uid-1730,2
uid-1731,3
uid-1732,1
uid-1733,2
uid-1734,2
uid-1735,3
uid-1736,1
uid-1737,1
uid-1738,1
uid-1739,2
uid-1740,2
uid-1741,2
uid-1742,2
uid-1743,1
uid-1744,1
uid-1745,2
uid-1746,2
uid-1747,1
uid-1748,2
uid-1749,1
uid-1750,1
uid-1751,2
uid-1752,1
uid-1753,2
uid-1754,3
uid-1755,1
uid-1756,3
uid-1757,1
uid-1758,3
uid-1759,3
uid-1760,2
uid-1761,1
uid-1762,3
uid-1763,2
uid-1764,2
uid-1765,3
uid-1766,2
uid-1767,1
uid-1768,2
uid-1769,1
uid-1770,2
uid-1771,2
uid-1772,2
uid-1773,2
uid-1774,1
uid-1775,1
uid-1776,2
uid-1777,1
uid-1778,2
uid-1779,2
uid-1780,1
uid-1781,3
uid-1782,3
uid-1783,2
uid-1784,1
uid-1785,2
uid-1786,1
uid-1787,1
uid-1788,3
uid-1789,1
uid-1790,1
uid-1791,1
uid-1792,1
uid-1793,2
uid-1794,2
uid-1795,3
uid-1796,1
uid-1797,2
uid-1798,2
uid-1799,2
uid-1800,2
uid-1801,1
uid-1802,1
uid-1803,2
uid-1804,2
uid-1805,2
uid-1806,3
uid-1807,2
uid-1808,2
uid-1809,3
uid-1810,2
uid-1811,2
uid-1812,1
uid-1813,2
uid-1814,1
uid-1815,3
uid-1816,2
uid-1817,1
uid-1818,2
uid-1819,2
uid-1820,2
uid-1821,3
uid-1822,2
uid-1823,2
uid-1824,2
uid-1825,2
uid-1826,2
uid-1827,2
uid-1828,2
uid-1829,3
uid-1830,2
uid-1831,2
uid-1832,1
uid-1833,2
uid-1834,2
uid-1835,2
uid-1836,1
uid-1837,1
uid-1838,2
uid-1839,1
uid-1840,2
uid-1841,1
uid-1842,1
uid-1843,1
uid-1844,3
uid-1845,1
uid-1846,3
uid-1847,1
uid-1848,3
uid-1849,3
uid-1850,1
uid-1851,2
uid-1852,2
uid-1853,3
uid-1854,1
uid-1855,1
uid-1856,3
uid-1857,2
uid-1858,1
uid-1859,1
uid-1860,2
uid-1861,2
uid-1862,2
uid-1863,1
uid-1864,2
uid-1865,2
uid-1866,1
uid-1867,2
uid-1868,1
uid-1869,3
uid-1870,2
uid-1871,3
uid-1872,2
uid-1873,1
